SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE,price_per_sq_ft
Past Sale,Condo/Coop,22 Liberty St,San Francisco,CA,94110,1389000,3,1,Eureka Valley/Dolore,1380,,1879,1,,,Sold,,,,,1389000,2016-01-12,1389000,http://www.redfin.com/CA/San-Francisco/22-Liberty-St-94110/home/712491,San Francisco Association of Realtors (SFARMLS),440762,Vanguard Properties,N,Y,37.75791,-122.421827,false,1007
Past Sale,Condo/Coop,25 Sierra St #104,San Francisco,CA,94107,,3,3,94107,3438,,2006,,,,,,,,,,2016-01-14,1625100,http://www.redfin.com/CA/San-Francisco/25-Sierra-St-94107/unit-104/home/12402200,,,,N,Y,37.757917,-122.395476,,473
Past Sale,Single Family Residential,1544 45th Ave,San Francisco,CA,94122,749000,0,2,Outer Sunset,1135,2996,1910,0,,,Sold,,,,,749000,2016-01-25,761000,http://www.redfin.com/CA/San-Francisco/1544-45th-Ave-94122/home/1603467,San Francisco Association of Realtors (SFARMLS),434722,Left Coast Properties,N,Y,37.757855,-122.504343,false,670
Past Sale,Condo/Coop,1618 12th Ave,San Francisco,CA,94122,1575000,4,3,Inner Sunset,2349,,2001,2,,,Sold,,,,,1575000,2016-02-09,1625000,http://www.redfin.com/CA/San-Francisco/1618-12th-Ave-94122/home/877872,San Francisco Association of Realtors (SFARMLS),442303,Vanguard Properties,N,Y,37.757906,-122.468775,false,692
Past Sale,Condo/Coop,25 Sierra St Unit E311,San Francisco,CA,94107,421493,2,1,Potrero Hill,738,,2006,1,,,Sold,,,,,421493,2016-05-20,421493,http://www.redfin.com/CA/San-Francisco/25-Sierra-St-94107/unit-E311/home/22043912,San Francisco Association of Realtors (SFARMLS),438470,Home Quest Realty,N,Y,37.757917,-122.395476,false,571
Past Sale,Single Family Residential,115 Mountain Spring Ave,SAN FRANCISCO,CA,94114,2050000,3,3,SAN FRANCISCO,1915,4996,1960,2,Garage,,Sold,,,,,2050000,2016-04-21,2250000,http://www.redfin.com/CA/San-Francisco/115-Mountain-Spring-Ave-94114/home/1404624,MLSListings Inc. (MLSLI),ML81578335,KW Peninsula Estates,N,Y,37.7578729,-122.451409,false,1175
Past Sale,Condo/Coop,25 Sierra St #311,San Francisco,CA,94107,,2,1,94107,738,,2006,,,,,,,,,,2016-05-20,422000,http://www.redfin.com/CA/San-Francisco/25-Sierra-St-94107/unit-311/home/12402348,,,,N,Y,37.757917,-122.395476,,572
Past Sale,Multi-Family (2-4 Unit),3925 18th St,San Francisco,CA,94114,1250000,,,Eureka Valley/Dolore,1680,2850,1900,2,Garage,,Sold,,,,2016-02-24,1399000,2016-03-17,1200000,http://www.redfin.com/CA/San-Francisco/3925-18th-St-94114/home/1637842,San Francisco Association of Realtors (SFARMLS),441321,NorCal Realty,N,Y,37.760874,-122.431184,false,714
Past Sale,Condo/Coop,4424 18th St,San Francisco,CA,94114,1095000,3,1,Eureka Valley/Dolore,1190,,,1,,,Sold,,,,,1095000,2016-04-06,1360000,http://www.redfin.com/CA/San-Francisco/4424-18th-St-94114/home/1714316,San Francisco Association of Realtors (SFARMLS),442700,Pacific Union International Inc.,N,Y,37.7608225,-122.4387778,false,1143
Past Sale,Single Family Residential,1478 6th Ave,San Francisco,CA,94122,,3,1,94122,1710,,1908,,,,,,,,,,2016-04-29,1850000,http://www.redfin.com/CA/San-Francisco/1478-6th-Ave-94122/home/992105,,,,N,Y,37.760885,-122.462542,,1082
Past Sale,Multi-Family (2-4 Unit),2214 Irving St,San Francisco,CA,94122,1499000,,,Central Sunset,2575,2900,1921,0,,,Sold,,,,,1499000,2015-11-10,1689040,http://www.redfin.com/CA/San-Francisco/2214-Irving-St-94122/home/92514068,San Francisco Association of Realtors (SFARMLS),436198,DCP Realty,N,Y,37.7635303,-122.4817721,false,656
Past Sale,Condo/Coop,30 Abbey St,San Francisco,CA,94114,989000,3,2,Mission Dolores,1115,,1900,0,,,Sold,,,,,989000,2015-12-08,1180000,http://www.redfin.com/CA/San-Francisco/30-Abbey-St-94114/home/895965,San Francisco Association of Realtors (SFARMLS),435135,Climb Real Estate,N,Y,37.7634487,-122.4273276,false,1058
Past Sale,Vacant Land,1027 Clayton St Unit V,San Francisco,CA,94117,,,,94117,,,1900,,,,,,,,,,2015-12-22,1205000,http://www.redfin.com/CA/San-Francisco/1027-Clayton-St-94117/unit-V/home/103689135,,,,N,Y,37.763457,-122.447425,,
Past Sale,Condo/Coop,2068 3rd St #14,San Francisco,CA,94107,1150000,2,2.5,Central Waterfront,1476,,1999,1,,,Sold,,,,2016-03-28,1199000,2016-04-22,1150000,http://www.redfin.com/CA/San-Francisco/2068-3rd-St-94107/unit-14/home/22044979,San Francisco Association of Realtors (SFARMLS),442537,Paragon Real Estate Group,N,Y,37.7634531,-122.3890791,false,779
Past Sale,Condo/Coop,2068 3rd St Unit T14,San Francisco,CA,94107,,1,2,94107,1476,,1999,,,,,,,,,,2016-04-22,1150000,http://www.redfin.com/CA/San-Francisco/2068-3rd-St-94107/unit-T14/home/12396292,,,,N,Y,37.7634531,-122.3890791,,779
Past Sale,Condo/Coop,3470 17th St,San Francisco,CA,94110,,,,94110,1595,,1924,,,,,,,,,,2016-01-22,1410000,http://www.redfin.com/CA/San-Francisco/3470-17th-St-94110/home/1753758,,,,N,Y,37.7634479,-122.423293,,884
